Calibre,Projectile Type,Projectile Dimension,dia,Projectile Mass,Total Mass with Sabot,Petal Burst Pressure,Powder Mass,Actual Velocity,Expected Velocity,Shape,s_type,Breadth,Height,Material,c_drag,Surface Area,Volume,SA/Vol,Density,Moment of Inertia,cd,Sabot Length,Plate Material,Plate Thickness,Impact Angle,Kinetic Energy,Perforated
29 mm,A,19.4,19.4,22.55,25.76,50.54,3.78,1611.92,1638.32,spherical,type1,2.97,5.11,steel,0.848,332.734,609.168,0.546,7800,0.4315,0.514,69.92,Titanium,28.24,16.4,29295.68,1
29 mm,A,7.22,7.22,14.23,16.81,68.93,2.71,1063.57,1114.01,ogive,type3,4.99,9.8,aluminum,0.297,948.803,1426.904,0.665,2700,0.2853,0.066,32.12,Aluminum,26.97,21.4,8048.35,0
40 mm,B,10.3,10.3,6.93,10.86,76.52,4.76,710.52,749.23,spherical,type1,13.18,3.87,tungsten,0.343,244.993,2255.581,0.109,19300,0.2961,0.139,44.01,Titanium,5.83,9.5,1749.27,0
40 mm,A,10.77,10.77,7.11,8.28,63.3,3.7,1426.07,1462.01,ogive,type2,11.05,11.71,aluminum,0.275,380.716,550.826,0.691,2700,0.2275,0.223,40.15,Steel,23.17,5.3,7229.72,0
40 mm,C,12.34,12.34,8.96,10.06,26.34,6.53,920.07,845.17,ogive,type2,8.51,3.66,aluminum,0.341,230.984,1439.709,0.16,2700,0.1186,0.456,33.4,Steel,6.84,9.5,3792.45,0
40 mm,A,16.78,16.78,10.66,13.37,59.06,7.93,1297.12,1172.49,ogive,type1,5.19,15.0,tungsten,0.403,195.045,512.074,0.381,19300,0.1774,0.545,53.11,Aluminum,6.88,43.7,8967.83,1
40 mm,C,5.09,5.09,14.93,16.54,27.23,4.69,716.37,780.13,cylindrical,type3,8.17,3.2,steel,0.786,569.823,1173.023,0.486,7800,0.4047,0.417,78.12,Aluminum,6.9,44.6,3830.93,0
29 mm,B,18.99,18.99,19.98,22.79,24.63,4.16,1259.73,1281.67,spherical,type3,12.26,10.91,tungsten,0.267,457.038,2754.813,0.166,19300,0.1898,0.45,51.68,Steel,25.74,33.8,15853.33,0
29 mm,B,14.69,14.69,8.73,12.07,61.57,3.4,1132.97,1131.89,ogive,type3,3.06,12.1,steel,0.817,141.552,2121.173,0.067,7800,0.4971,0.209,98.61,Aluminum,15.69,37.7,5603.01,0
40 mm,A,19.26,19.26,24.85,26.26,70.09,7.81,1668.45,1703.17,spherical,type3,14.93,5.35,tungsten,0.88,230.675,264.661,0.872,19300,0.4145,0.586,44.17,Steel,18.93,4.7,34587.79,1
40 mm,B,17.26,17.26,8.23,10.55,29.53,4.38,1494.0,1590.37,cylindrical,type2,13.18,5.31,tungsten,0.397,133.893,576.535,0.232,19300,0.4394,0.274,95.85,Steel,5.77,5.5,9184.83,1
29 mm,C,18.92,18.92,16.99,20.06,24.45,2.25,739.63,810.31,ogive,type3,6.13,9.75,steel,0.519,122.131,1022.698,0.119,7800,0.4493,0.552,35.48,Titanium,27.52,4.2,4647.21,0
40 mm,A,14.02,14.02,23.58,27.08,73.19,7.78,1568.47,1616.58,ogive,type1,13.32,10.2,steel,0.571,260.623,2707.538,0.096,7800,0.3876,0.479,45.66,Steel,29.55,2.8,29004.56,1
29 mm,A,10.36,10.36,21.65,24.14,27.93,7.73,1570.35,1526.01,ogive,type3,10.86,11.37,tungsten,0.344,769.284,2291.842,0.336,19300,0.2865,0.252,33.13,Aluminum,10.88,33.6,26694.44,1
40 mm,B,11.64,11.64,17.96,19.58,22.11,4.05,1429.75,1391.91,spherical,type3,10.66,9.54,tungsten,0.712,113.293,1928.98,0.059,19300,0.4668,0.239,39.03,Titanium,21.41,2.5,18356.78,0
40 mm,A,14.87,14.87,19.31,22.07,63.26,3.44,1722.23,1602.91,ogive,type1,3.82,4.27,tungsten,0.606,374.03,627.265,0.596,19300,0.2706,0.424,32.57,Titanium,21.97,42.7,28637.47,1
29 mm,A,11.4,11.4,7.68,10.04,70.86,5.76,1583.58,1615.26,spherical,type2,13.78,14.01,aluminum,0.279,608.309,2800.849,0.217,2700,0.1383,0.567,69.99,Aluminum,29.16,29.4,9629.67,0
29 mm,B,15.98,15.98,5.19,8.51,50.87,6.8,940.79,996.22,cylindrical,type2,7.85,4.17,steel,0.827,769.333,2462.762,0.312,7800,0.3386,0.42,36.05,Steel,17.09,7.7,2296.8,0
29 mm,B,6.38,6.38,13.68,16.35,52.4,4.49,1119.7,1179.21,ogive,type1,12.44,9.35,tungsten,0.412,710.103,870.392,0.816,19300,0.1422,0.522,26.81,Steel,10.95,36.8,8575.5,0
40 mm,B,17.45,17.45,6.79,8.63,40.21,3.32,1084.92,1118.69,cylindrical,type3,5.89,13.96,tungsten,0.309,989.582,1332.112,0.743,19300,0.3622,0.581,41.31,Steel,14.01,37.1,3996.09,0
40 mm,C,8.06,8.06,12.16,15.42,34.31,3.11,1255.4,1247.7,ogive,type1,6.0,13.87,aluminum,0.887,348.065,1399.475,0.249,2700,0.499,0.232,74.27,Aluminum,20.99,25.4,9582.26,0
29 mm,C,19.16,19.16,9.47,12.02,65.31,3.29,1749.08,1720.87,cylindrical,type1,14.54,4.18,tungsten,0.272,100.125,1845.018,0.054,19300,0.3701,0.346,54.29,Aluminum,16.81,4.1,14485.69,0
29 mm,A,7.33,7.33,23.33,24.86,70.96,1.83,1377.16,1335.89,spherical,type1,8.46,5.1,aluminum,0.242,134.397,1249.469,0.108,2700,0.1842,0.385,32.49,Aluminum,6.99,18.0,22123.49,1
40 mm,B,6.94,6.94,22.6,25.29,39.27,6.45,1044.23,1036.06,spherical,type3,2.78,9.82,steel,0.366,187.767,788.074,0.238,7800,0.1551,0.169,25.08,Steel,25.18,24.7,12321.7,0
29 mm,A,17.18,17.18,21.38,25.22,36.43,1.73,1735.67,1686.78,cylindrical,type1,12.86,6.38,tungsten,0.423,977.714,2067.571,0.473,19300,0.2426,0.489,78.35,Steel,26.61,33.5,32204.16,1
29 mm,A,17.28,17.28,19.28,22.4,36.07,3.79,1470.3,1558.1,ogive,type2,4.95,11.5,tungsten,0.504,613.043,2097.154,0.292,19300,0.1583,0.194,76.33,Steel,16.96,13.4,20839.58,1
29 mm,A,16.08,16.08,8.08,9.98,23.04,6.84,992.69,927.57,cylindrical,type3,13.42,8.79,tungsten,0.68,819.432,1438.68,0.57,19300,0.3279,0.439,56.92,Steel,18.09,39.3,3981.15,0
40 mm,B,19.41,19.41,5.97,9.1,36.86,3.83,1697.16,1687.31,ogive,type1,13.91,5.46,aluminum,0.456,986.571,1562.627,0.631,2700,0.4132,0.338,62.22,Titanium,17.29,11.3,8597.85,0
40 mm,C,9.06,9.06,18.08,19.93,21.54,3.06,1078.63,981.82,cylindrical,type3,2.95,7.34,steel,0.592,859.841,341.876,2.515,7800,0.3633,0.51,39.24,Steel,18.24,44.9,10517.52,0
29 mm,C,17.4,17.4,17.85,20.48,67.3,7.64,1267.83,1282.66,spherical,type1,9.57,10.98,steel,0.204,466.854,1477.077,0.316,7800,0.3469,0.331,58.83,Steel,7.57,5.2,14345.98,1
40 mm,B,10.28,10.28,12.39,14.97,35.36,1.89,1227.15,1227.03,spherical,type3,14.76,12.21,tungsten,0.469,888.293,2441.115,0.364,19300,0.2742,0.373,78.29,Aluminum,15.84,37.5,9329.03,0
40 mm,C,13.06,13.06,14.45,16.19,61.41,7.19,1715.99,1698.15,cylindrical,type1,14.1,6.8,aluminum,0.861,490.376,1856.151,0.264,2700,0.1691,0.15,81.72,Steel,16.2,5.9,21274.89,1
29 mm,A,11.68,11.68,14.78,16.82,52.59,1.43,992.23,945.59,ogive,type1,8.83,3.36,tungsten,0.742,202.571,2777.957,0.073,19300,0.3551,0.495,47.24,Aluminum,29.94,34.2,7275.61,0
40 mm,C,5.09,5.09,9.8,13.63,70.25,3.89,1066.64,1066.76,ogive,type3,10.85,6.59,steel,0.719,593.318,2206.237,0.269,7800,0.2677,0.271,74.31,Titanium,6.22,38.8,5574.83,0
40 mm,C,13.62,13.62,11.28,13.03,77.62,5.42,1426.18,1398.96,spherical,type3,9.86,10.2,aluminum,0.413,924.173,2377.384,0.389,2700,0.2222,0.369,58.92,Steel,12.8,14.1,11471.7,0
29 mm,A,16.21,16.21,13.37,16.77,42.04,3.59,1675.28,1668.44,cylindrical,type3,4.64,11.88,aluminum,0.542,806.084,1483.564,0.543,2700,0.3637,0.515,79.15,Titanium,17.4,4.6,18761.87,1
29 mm,B,7.62,7.62,17.06,20.06,25.3,4.74,826.37,924.24,ogive,type3,10.49,13.44,steel,0.791,461.734,685.658,0.673,7800,0.2514,0.314,75.26,Aluminum,26.18,45.0,5825.03,0
40 mm,C,18.97,18.97,24.12,26.72,64.98,2.43,930.87,939.48,cylindrical,type2,6.33,14.51,aluminum,0.816,869.38,2754.118,0.316,2700,0.1673,0.201,80.03,Titanium,16.53,43.7,10450.22,0
40 mm,B,12.96,12.96,15.77,17.18,21.28,4.98,1742.84,1769.48,spherical,type1,6.39,8.88,tungsten,0.697,517.764,2045.75,0.253,19300,0.2934,0.196,33.19,Titanium,12.28,34.1,23950.62,1
29 mm,C,7.67,7.67,19.62,21.23,33.38,1.94,1555.03,1531.81,cylindrical,type1,7.46,13.44,aluminum,0.52,716.117,2746.529,0.261,2700,0.2157,0.361,45.77,Titanium,18.38,17.4,23721.74,1
40 mm,C,14.69,14.69,21.14,22.68,23.2,6.57,1080.68,1041.46,spherical,type2,13.08,5.41,steel,0.251,399.822,1929.063,0.207,7800,0.3934,0.21,41.2,Aluminum,12.43,6.0,12344.38,1
40 mm,B,7.88,7.88,7.27,10.03,73.89,5.09,1093.4,1092.25,spherical,type2,5.1,9.28,steel,0.284,275.243,1472.547,0.187,7800,0.1188,0.236,55.77,Steel,18.71,18.8,4345.73,0
29 mm,A,5.95,5.95,18.06,21.98,20.32,4.37,1216.49,1341.69,cylindrical,type2,5.26,9.01,tungsten,0.2,382.123,577.27,0.662,19300,0.4411,0.179,57.19,Steel,22.25,32.4,13363.03,0
40 mm,B,15.28,15.28,14.64,18.27,49.56,1.38,1441.18,1426.81,spherical,type1,2.1,11.99,aluminum,0.451,887.647,1313.573,0.676,2700,0.2845,0.295,73.38,Steel,18.27,6.9,15203.64,0
29 mm,A,6.66,6.66,16.45,17.53,45.44,4.5,1317.15,1335.22,cylindrical,type2,4.02,12.05,aluminum,0.216,990.794,1873.15,0.529,2700,0.1064,0.306,65.57,Steel,20.24,0.8,14269.42,0
40 mm,B,6.59,6.59,5.77,7.59,59.16,4.94,1553.73,1512.31,cylindrical,type1,14.72,5.71,aluminum,0.505,337.525,2806.14,0.12,2700,0.1533,0.339,66.39,Titanium,5.97,40.7,6964.61,1
29 mm,B,16.1,16.1,23.12,24.59,37.38,2.86,759.58,621.82,cylindrical,type1,7.64,13.52,tungsten,0.618,248.827,2522.061,0.099,19300,0.4782,0.376,70.64,Titanium,21.47,31.5,6669.68,0
29 mm,B,5.83,5.83,24.06,27.99,72.42,5.74,1600.94,1561.45,cylindrical,type1,4.54,13.59,steel,0.617,163.974,1636.797,0.1,7800,0.3148,0.373,41.83,Aluminum,29.24,31.2,30833.0,1
40 mm,A,17.15,17.15,5.07,6.78,64.06,1.54,763.86,882.9,spherical,type2,14.55,14.33,aluminum,0.589,778.438,1454.375,0.535,2700,0.4074,0.252,38.09,Steel,17.29,42.6,1479.13,0
29 mm,A,16.94,16.94,9.26,10.86,45.94,2.46,1669.07,1698.84,ogive,type2,2.35,7.95,steel,0.358,575.2,293.165,1.962,7800,0.4531,0.545,37.22,Titanium,25.07,23.4,12898.23,0
40 mm,C,7.12,7.12,8.6,11.46,41.48,6.16,747.58,829.63,ogive,type1,8.29,14.84,aluminum,0.563,600.49,1183.328,0.507,2700,0.2281,0.331,82.36,Steel,18.72,14.3,2403.17,0
29 mm,A,12.78,12.78,20.63,23.3,68.95,2.03,840.62,823.23,ogive,type2,12.46,12.2,aluminum,0.886,140.686,2947.69,0.048,2700,0.3188,0.508,27.78,Titanium,22.6,40.9,7289.01,0
40 mm,A,6.45,6.45,16.96,18.64,65.42,2.72,898.2,780.36,ogive,type1,12.05,10.49,tungsten,0.511,172.951,2274.871,0.076,19300,0.3601,0.357,45.29,Titanium,12.75,44.4,6841.35,0
40 mm,C,14.49,14.49,8.55,11.56,43.94,5.56,945.36,889.92,cylindrical,type1,4.46,7.62,steel,0.812,923.161,1669.297,0.553,7800,0.4366,0.254,42.42,Aluminum,29.17,0.9,3820.59,0
40 mm,A,5.94,5.94,21.28,22.57,40.48,6.1,1141.94,1161.79,ogive,type1,11.2,12.95,tungsten,0.467,619.058,2614.439,0.237,19300,0.268,0.456,67.35,Titanium,10.38,14.9,13874.85,1
29 mm,B,19.17,19.17,12.07,13.13,22.33,1.36,1421.03,1432.91,cylindrical,type2,10.09,11.93,steel,0.636,297.286,264.556,1.124,7800,0.4807,0.147,93.94,Aluminum,8.98,16.3,12186.63,1
29 mm,A,8.12,8.12,14.22,15.47,24.9,1.89,1681.86,1681.34,spherical,type3,10.78,9.61,steel,0.537,286.715,2881.348,0.1,7800,0.3428,0.583,90.29,Titanium,6.14,5.0,20111.72,1
40 mm,A,15.24,15.24,12.75,14.84,23.24,4.12,1276.95,1250.44,ogive,type1,5.46,14.96,aluminum,0.682,316.813,2159.072,0.147,2700,0.4495,0.365,28.43,Aluminum,18.53,10.0,10395.08,0
40 mm,B,6.92,6.92,15.43,19.36,21.46,5.15,1285.74,1332.73,spherical,type1,12.54,5.24,aluminum,0.828,157.382,237.28,0.663,2700,0.1333,0.107,63.22,Aluminum,20.47,1.1,12753.88,0
40 mm,B,8.14,8.14,14.6,17.24,29.17,4.18,1051.24,1026.17,ogive,type1,9.27,10.34,steel,0.509,144.787,2175.489,0.067,7800,0.2853,0.282,22.98,Steel,21.24,31.3,8067.27,0
29 mm,A,11.76,11.76,10.49,13.75,71.43,5.53,1580.75,1596.14,cylindrical,type2,11.43,6.17,steel,0.73,747.987,432.758,1.728,7800,0.1717,0.442,83.39,Titanium,9.31,4.8,13106.05,1
40 mm,A,13.6,13.6,13.49,15.45,67.89,6.29,821.53,831.3,ogive,type3,14.21,7.95,steel,0.818,337.381,1990.872,0.169,7800,0.4648,0.087,49.98,Titanium,21.29,39.9,4552.28,0
29 mm,A,19.98,19.98,23.17,26.33,70.73,7.65,1031.21,1012.78,cylindrical,type1,13.12,6.41,steel,0.753,446.018,1042.48,0.428,7800,0.194,0.194,37.19,Steel,9.13,26.3,12319.42,1
29 mm,B,5.39,5.39,15.06,18.96,57.43,3.45,806.68,762.62,cylindrical,type2,12.17,6.35,steel,0.217,583.627,793.858,0.735,7800,0.3852,0.558,58.73,Aluminum,23.87,16.0,4900.02,0
40 mm,C,5.0,5.0,23.33,25.4,57.44,2.14,935.6,914.23,spherical,type3,5.77,6.9,aluminum,0.2,388.058,1958.628,0.198,2700,0.1251,0.246,54.81,Titanium,11.88,36.4,10210.93,0
29 mm,A,10.26,10.26,16.0,20.0,27.44,2.85,1345.26,1438.94,ogive,type3,2.7,2.74,aluminum,0.818,530.908,1415.314,0.375,2700,0.1803,0.138,95.45,Titanium,15.55,29.3,14477.8,1
40 mm,A,10.49,10.49,20.38,23.3,61.94,2.04,838.56,894.18,spherical,type2,9.47,2.52,aluminum,0.711,878.51,380.664,2.308,2700,0.2279,0.104,22.65,Steel,14.18,33.9,7165.43,0
29 mm,B,18.26,18.26,10.87,14.12,36.8,3.76,810.68,861.7,cylindrical,type3,2.45,11.42,tungsten,0.871,319.69,2502.56,0.128,19300,0.4127,0.39,96.0,Steel,14.19,39.5,3571.89,0
29 mm,B,18.69,18.69,20.81,22.57,51.16,7.11,1608.5,1569.18,cylindrical,type3,11.28,6.04,steel,0.405,812.134,945.144,0.859,7800,0.2005,0.357,38.75,Titanium,23.02,36.3,26920.57,1
29 mm,A,18.21,18.21,10.29,13.22,77.28,3.43,830.13,758.25,cylindrical,type3,11.58,2.28,steel,0.752,337.554,1930.989,0.175,7800,0.4268,0.406,31.6,Aluminum,29.94,35.1,3545.5,0
40 mm,A,7.15,7.15,5.39,7.92,72.24,2.04,1368.86,1423.68,spherical,type1,9.32,3.06,steel,0.761,268.253,1906.21,0.141,7800,0.4154,0.577,79.35,Titanium,18.18,32.8,5049.83,0
40 mm,B,11.18,11.18,8.21,12.08,33.99,4.66,1087.21,1132.45,cylindrical,type1,4.19,4.55,steel,0.8,165.393,357.251,0.463,7800,0.4969,0.083,61.81,Aluminum,15.03,17.0,4852.22,0
40 mm,B,16.19,16.19,5.43,9.14,64.2,7.94,1686.0,1692.86,cylindrical,type1,13.38,2.63,aluminum,0.684,715.781,2992.486,0.239,2700,0.3709,0.159,91.65,Titanium,12.34,29.3,7717.65,0
40 mm,B,9.69,9.69,23.94,26.13,26.25,2.32,1478.31,1459.78,spherical,type3,9.75,14.3,steel,0.297,470.47,1453.45,0.324,7800,0.355,0.179,63.41,Steel,20.61,25.5,26159.24,1
40 mm,A,14.95,14.95,25.0,28.84,21.6,6.45,765.37,692.17,spherical,type2,8.69,9.39,tungsten,0.677,793.384,774.999,1.024,19300,0.3406,0.285,60.44,Aluminum,16.28,43.4,7322.39,0
40 mm,C,8.56,8.56,20.24,23.89,21.69,6.76,1685.01,1728.38,ogive,type1,9.38,7.12,steel,0.623,219.404,1422.894,0.154,7800,0.1438,0.117,36.49,Aluminum,24.32,22.5,28733.3,1
40 mm,B,9.85,9.85,7.16,9.93,30.21,3.81,1155.29,1214.6,spherical,type2,3.08,8.93,aluminum,0.434,643.015,1888.573,0.34,2700,0.3053,0.275,95.98,Steel,20.17,10.0,4778.21,0
29 mm,B,17.91,17.91,22.98,24.23,61.7,5.34,1028.05,994.1,spherical,type1,11.63,3.47,tungsten,0.346,111.688,208.511,0.536,19300,0.4406,0.499,73.16,Titanium,15.3,20.6,12143.63,0
29 mm,A,8.76,8.76,19.88,21.36,41.8,4.03,1440.06,1401.93,cylindrical,type3,2.79,11.12,tungsten,0.82,310.447,1040.374,0.298,19300,0.1083,0.14,68.13,Aluminum,28.83,18.7,20613.3,0
29 mm,C,19.46,19.46,11.64,12.87,20.96,2.84,1489.77,1551.82,spherical,type2,9.52,14.6,aluminum,0.299,648.682,1701.725,0.381,2700,0.1507,0.554,83.2,Aluminum,5.28,21.1,12916.99,1
29 mm,C,9.59,9.59,15.05,16.37,79.28,3.98,1033.58,1001.49,cylindrical,type3,4.2,3.7,tungsten,0.496,150.435,2144.536,0.07,19300,0.3402,0.551,28.1,Steel,22.24,26.1,8038.86,0
40 mm,A,5.35,5.35,18.24,22.17,52.0,1.67,1086.82,1175.77,spherical,type1,4.7,3.98,steel,0.636,439.506,1077.257,0.408,7800,0.4388,0.332,89.31,Steel,15.27,42.7,10772.34,0
29 mm,C,8.82,8.82,5.48,7.12,43.63,5.95,871.96,866.51,cylindrical,type2,5.03,10.17,aluminum,0.88,605.497,1330.947,0.455,2700,0.2229,0.523,60.04,Titanium,8.04,12.6,2083.26,0
29 mm,C,7.57,7.57,15.03,18.1,51.13,6.8,1352.79,1333.46,ogive,type1,2.19,3.98,tungsten,0.67,754.828,819.44,0.921,19300,0.4486,0.441,84.18,Titanium,7.32,43.6,13752.76,1
40 mm,A,12.6,12.6,19.65,22.56,51.2,3.15,1752.6,1754.86,cylindrical,type3,13.59,3.64,steel,0.413,735.09,1020.513,0.72,7800,0.235,0.246,77.01,Steel,21.23,35.1,30178.54,1
40 mm,C,6.69,6.69,8.76,11.65,48.21,4.97,1158.29,1138.96,ogive,type2,12.46,10.72,tungsten,0.242,233.363,2124.601,0.11,19300,0.2862,0.359,56.1,Steel,8.69,8.2,5876.36,0
40 mm,A,14.39,14.39,13.88,15.5,56.78,2.63,1795.83,1852.14,ogive,type2,2.41,10.04,tungsten,0.422,167.653,1144.333,0.147,19300,0.4812,0.114,81.58,Steel,26.4,12.6,22381.54,0
29 mm,A,18.12,18.12,15.65,18.39,73.14,1.89,894.06,938.35,spherical,type2,2.74,4.83,tungsten,0.405,438.723,982.935,0.446,19300,0.267,0.323,77.66,Steel,12.77,40.9,6254.86,0
29 mm,A,10.44,10.44,19.71,22.59,38.1,5.65,1575.71,1630.12,cylindrical,type1,12.18,12.7,tungsten,0.773,316.725,1035.968,0.306,19300,0.3398,0.506,20.3,Steel,13.6,36.1,24468.61,1
40 mm,B,7.53,7.53,24.29,27.0,49.22,1.94,1720.92,1730.15,spherical,type3,2.09,3.37,steel,0.464,375.122,1915.401,0.196,7800,0.4742,0.372,76.74,Titanium,21.5,6.5,35968.21,1
29 mm,B,11.0,11.0,21.97,23.53,20.22,6.47,1456.86,1434.04,cylindrical,type2,8.1,6.32,steel,0.269,408.236,1770.287,0.231,7800,0.2058,0.26,60.7,Titanium,10.5,26.3,23315.02,1
29 mm,B,16.79,16.79,17.43,20.6,71.59,2.9,820.26,819.81,spherical,type3,3.39,11.61,tungsten,0.809,457.46,1339.324,0.342,19300,0.1368,0.415,87.16,Aluminum,5.18,12.5,5863.68,1
29 mm,A,13.87,13.87,16.67,17.89,38.35,6.73,1059.2,1037.92,ogive,type1,9.69,9.98,aluminum,0.213,566.74,1970.486,0.288,2700,0.4832,0.587,84.77,Aluminum,16.15,28.3,9351.08,0
40 mm,A,6.52,6.52,17.06,19.83,36.28,3.58,794.23,867.56,spherical,type1,14.98,9.8,aluminum,0.202,108.373,1999.824,0.054,2700,0.3239,0.087,33.65,Steel,18.2,7.8,5380.74,0
40 mm,C,13.06,13.06,15.9,18.21,79.85,3.58,1361.92,1412.03,cylindrical,type3,4.24,10.92,tungsten,0.532,368.202,236.707,1.556,19300,0.4863,0.232,21.74,Aluminum,16.15,15.8,14745.87,1
40 mm,C,12.02,12.02,6.19,7.94,55.06,6.25,1797.96,1793.38,spherical,type1,14.44,10.4,aluminum,0.248,337.93,1149.367,0.294,2700,0.4467,0.136,35.71,Titanium,16.45,17.5,10005.08,0
40 mm,C,9.91,9.91,18.97,22.39,27.38,4.57,1112.23,1065.91,ogive,type1,13.25,13.37,tungsten,0.324,312.601,884.009,0.354,19300,0.3379,0.576,79.29,Steel,21.64,24.2,11733.47,0
40 mm,A,6.65,6.65,19.33,20.86,35.93,2.41,879.24,956.28,ogive,type3,14.82,9.39,steel,0.89,809.757,2521.54,0.321,7800,0.2885,0.35,89.71,Aluminum,26.14,10.8,7471.65,0
29 mm,C,19.72,19.72,15.25,19.05,41.19,6.95,995.5,1002.33,ogive,type1,11.96,7.22,steel,0.791,326.168,971.221,0.336,7800,0.2921,0.121,76.05,Aluminum,14.14,32.7,7556.53,0
40 mm,C,7.64,7.64,22.41,26.06,79.16,3.38,1327.88,1321.37,cylindrical,type1,13.14,11.96,steel,0.735,235.868,1088.429,0.217,7800,0.1664,0.387,85.65,Aluminum,24.75,36.4,19757.39,0
29 mm,B,7.89,7.89,18.45,20.53,45.84,1.72,1325.86,1403.34,spherical,type2,9.73,5.37,aluminum,0.67,866.643,1705.805,0.508,2700,0.2814,0.325,66.98,Aluminum,6.57,28.8,16216.67,1
29 mm,A,7.18,7.18,12.25,14.17,33.81,3.91,952.8,927.3,ogive,type1,13.27,11.87,aluminum,0.233,444.647,1732.718,0.257,2700,0.4287,0.083,60.52,Steel,17.01,40.6,5560.45,0
40 mm,C,13.55,13.55,5.39,6.8,54.18,5.02,1525.78,1509.83,cylindrical,type1,3.45,5.64,tungsten,0.785,265.631,2470.726,0.108,19300,0.4955,0.525,97.63,Steel,14.4,35.6,6273.97,0
29 mm,B,11.66,11.66,6.18,9.93,44.29,5.27,796.81,785.27,ogive,type1,11.64,8.24,steel,0.53,776.087,1286.199,0.603,7800,0.4841,0.44,26.45,Steel,16.65,2.0,1961.86,0
29 mm,A,8.74,8.74,12.04,14.92,23.3,6.85,1385.34,1319.51,ogive,type1,10.17,11.61,aluminum,0.269,691.457,987.26,0.7,2700,0.4849,0.053,53.71,Titanium,7.29,3.8,11553.38,1
29 mm,A,11.44,11.44,14.24,15.34,71.66,4.79,1168.27,1184.06,cylindrical,type1,2.78,10.16,aluminum,0.411,950.77,1903.081,0.5,2700,0.1076,0.578,42.24,Titanium,8.47,29.7,9717.77,1
40 mm,B,15.1,15.1,8.34,10.87,20.94,2.57,839.89,801.77,ogive,type3,5.79,3.11,aluminum,0.551,890.016,2239.187,0.397,2700,0.3063,0.138,29.76,Aluminum,12.34,32.5,2941.58,0
29 mm,A,9.23,9.23,8.79,10.05,73.91,2.83,1397.82,1369.28,ogive,type1,4.81,7.81,steel,0.21,724.884,2979.273,0.243,7800,0.1801,0.05,68.45,Aluminum,11.84,43.6,8587.39,0
29 mm,A,18.73,18.73,9.6,12.32,67.51,1.71,1440.35,1405.13,cylindrical,type1,7.27,12.55,tungsten,0.377,244.892,1931.237,0.127,19300,0.3461,0.285,41.06,Titanium,14.63,0.1,9958.12,0
40 mm,B,9.6,9.6,20.61,23.14,24.55,6.15,1184.02,1154.67,spherical,type1,4.58,14.96,steel,0.435,534.863,1574.054,0.34,7800,0.4783,0.127,57.04,Titanium,16.43,10.7,14446.61,0
29 mm,C,7.97,7.97,20.43,21.68,63.42,1.74,1577.79,1535.84,spherical,type2,5.57,8.07,aluminum,0.525,206.91,572.59,0.361,2700,0.4507,0.364,30.93,Steel,10.53,37.4,25429.44,1
40 mm,A,19.32,19.32,12.66,16.11,66.26,5.24,1260.25,1272.61,cylindrical,type3,5.85,3.12,aluminum,0.201,594.458,2963.385,0.201,2700,0.4466,0.221,51.2,Titanium,20.48,40.1,10053.5,0
40 mm,B,17.16,17.16,8.45,10.24,56.14,5.18,1014.33,1006.55,cylindrical,type2,9.8,6.76,aluminum,0.596,925.105,2117.977,0.437,2700,0.2463,0.152,36.02,Aluminum,14.4,20.9,4346.96,0
40 mm,C,10.15,10.15,7.22,9.84,54.66,6.5,1748.96,1751.36,spherical,type1,3.75,8.37,aluminum,0.338,103.441,662.049,0.156,2700,0.3005,0.592,91.75,Titanium,6.5,21.8,11042.49,1
29 mm,C,17.62,17.62,6.74,9.66,22.98,1.52,1738.45,1856.14,spherical,type1,5.13,2.95,steel,0.618,888.413,1487.096,0.597,7800,0.2128,0.233,61.79,Titanium,11.09,38.4,10184.84,1
29 mm,C,12.78,12.78,12.83,16.72,23.57,2.42,805.18,797.4,ogive,type2,6.12,13.24,tungsten,0.367,585.386,1768.847,0.331,19300,0.3215,0.278,83.96,Steel,19.0,20.7,4158.94,0
29 mm,A,10.2,10.2,5.91,8.39,63.64,7.37,1740.69,1770.94,ogive,type1,7.84,9.0,steel,0.482,236.125,807.256,0.293,7800,0.2214,0.212,58.86,Titanium,20.17,35.4,8953.65,0
40 mm,C,17.59,17.59,11.67,15.42,26.33,5.01,1553.03,1588.97,spherical,type3,2.5,7.41,steel,0.637,870.279,2250.948,0.387,7800,0.4235,0.51,23.39,Steel,24.99,42.7,14073.45,0
29 mm,C,16.28,16.28,24.23,26.29,34.51,4.2,817.31,814.17,cylindrical,type3,14.99,7.16,aluminum,0.66,583.207,2020.945,0.289,2700,0.2858,0.158,75.56,Aluminum,11.14,11.8,8092.77,0
29 mm,A,9.47,9.47,15.15,18.72,49.93,6.23,1271.26,1284.95,spherical,type2,5.91,2.37,steel,0.221,503.349,854.493,0.589,7800,0.3802,0.12,23.83,Titanium,19.06,12.3,12241.97,0
29 mm,B,14.1,14.1,21.45,23.16,29.85,7.32,738.45,739.48,ogive,type3,5.74,8.75,aluminum,0.575,549.746,2971.318,0.185,2700,0.4491,0.535,51.6,Steel,16.9,42.2,5848.43,0
40 mm,B,10.54,10.54,7.59,10.71,67.39,2.84,1347.74,1357.87,ogive,type1,9.21,8.18,tungsten,0.772,232.634,2856.272,0.081,19300,0.2199,0.151,63.76,Steel,26.21,19.1,6893.25,0
